model,language,category,total,correct,accuracy
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,en,economics,42,22,0.52381
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,en,math,68,41,0.602941
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,en,physics,65,22,0.338462
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,en,computer science,20,9,0.45
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,en,philosophy,25,10,0.4
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,en,engineering,48,17,0.354167
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ru,all,588,242,0.411565
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ru,business,40,20,0.5
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ru,law,48,3,0.0625
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ru,psychology,40,22,0.55
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ru,biology,36,28,0.777778
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ru,chemistry,56,16,0.285714
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ru,history,19,4,0.210526
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ru,other,46,22,0.478261
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ru,health,35,11,0.314286
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ru,economics,42,15,0.357143
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ru,math,68,36,0.529412
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ru,physics,65,29,0.446154
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ru,computer science,20,6,0.3
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ru,philosophy,25,13,0.52
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ru,engineering,48,17,0.354167
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,pt,all,588,236,0.401361
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,pt,business,40,18,0.45
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,pt,law,48,7,0.145833
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,pt,psychology,40,23,0.575
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,pt,biology,36,25,0.694444
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,pt,chemistry,56,16,0.285714
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,pt,history,19,4,0.210526
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,pt,other,46,16,0.347826
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,pt,health,35,10,0.285714
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,pt,economics,42,24,0.571429
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,pt,math,68,40,0.588235
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,pt,physics,65,24,0.369231
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,pt,computer science,20,7,0.35
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,pt,philosophy,25,8,0.32
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,pt,engineering,48,14,0.291667
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,fr,all,588,240,0.408163
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,fr,business,40,21,0.525
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,fr,law,48,9,0.1875
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,fr,psychology,40,20,0.5
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,fr,biology,36,24,0.666667
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,fr,chemistry,56,15,0.267857
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,fr,history,19,4,0.210526
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,fr,other,46,15,0.326087
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,fr,health,35,16,0.457143
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,fr,economics,42,22,0.52381
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,fr,math,68,38,0.558824
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,fr,physics,65,25,0.384615
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,fr,computer science,20,6,0.3
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,fr,philosophy,25,10,0.4
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,fr,engineering,48,15,0.3125
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zh,all,588,227,0.386054
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zh,business,40,19,0.475
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zh,law,48,2,0.041667
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zh,psychology,40,21,0.525
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zh,biology,36,22,0.611111
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zh,chemistry,56,16,0.285714
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zh,history,19,5,0.263158
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zh,other,46,18,0.391304
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zh,health,35,12,0.342857
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zh,economics,42,15,0.357143
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zh,math,68,39,0.573529
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zh,physics,65,21,0.323077
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zh,computer science,20,9,0.45
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zh,philosophy,25,10,0.4
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zh,engineering,48,18,0.375
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,yo,all,588,129,0.219388
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,yo,business,40,13,0.325
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,yo,law,48,3,0.0625
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,yo,psychology,40,11,0.275
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,yo,biology,36,13,0.361111
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,yo,chemistry,56,14,0.25
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,yo,history,19,1,0.052632
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,yo,other,46,7,0.152174
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,yo,health,35,7,0.2
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,yo,economics,42,6,0.142857
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,yo,math,68,26,0.382353
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,yo,physics,65,9,0.138462
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,yo,computer science,20,4,0.2
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,yo,philosophy,25,4,0.16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,yo,engineering,48,11,0.229167
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zu,all,288,79,0.274306
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zu,business,40,11,0.275
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zu,law,48,9,0.1875
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zu,psychology,40,16,0.4
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zu,biology,36,16,0.444444
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zu,chemistry,56,11,0.196429
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zu,history,19,6,0.315789
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zu,other,46,10,0.217391
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zu,health,3,0,0.0
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,sw,all,588,192,0.326531
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,sw,business,40,14,0.35
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,sw,law,48,9,0.1875
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,sw,psychology,40,13,0.325
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,sw,biology,36,14,0.388889
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,sw,chemistry,56,14,0.25
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,sw,history,19,2,0.105263
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,sw,other,46,22,0.478261
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,sw,health,35,9,0.257143
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,sw,economics,42,11,0.261905
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,sw,math,68,31,0.455882
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,sw,physics,65,26,0.4
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,sw,computer science,20,6,0.3
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,sw,philosophy,25,5,0.2
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,sw,engineering,48,16,0.333333
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ar,all,588,222,0.377551
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ar,business,40,19,0.475
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ar,law,48,9,0.1875
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ar,psychology,40,19,0.475
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ar,biology,36,21,0.583333
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ar,chemistry,56,15,0.267857
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ar,history,19,5,0.263158
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ar,other,46,18,0.391304
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ar,health,35,9,0.257143
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ar,economics,42,20,0.47619
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ar,math,68,39,0.573529
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ar,physics,65,26,0.4
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ar,computer science,20,5,0.25
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ar,philosophy,25,6,0.24
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ar,engineering,48,11,0.229167
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,es,all,588,246,0.418367
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,es,business,40,18,0.45
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,es,law,48,7,0.145833
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,es,psychology,40,20,0.5
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,es,biology,36,27,0.75
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,es,chemistry,56,16,0.285714
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,es,history,19,5,0.263158
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,es,other,46,20,0.434783
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,es,health,35,14,0.4
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,es,economics,42,20,0.47619
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,es,math,68,38,0.558824
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,es,physics,65,29,0.446154
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,es,computer science,20,8,0.4
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,es,philosophy,25,9,0.36
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,es,engineering,48,15,0.3125
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,vi,all,588,239,0.406463
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,vi,business,40,17,0.425
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,vi,law,48,8,0.166667
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,vi,psychology,40,17,0.425
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,vi,biology,36,20,0.555556
